Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
0.30632,-1.99691,0.98558,-0.0,1.0,1.0494,1.04584,-0.02288,-0.01941,788.4879,757.10645
0.53143,-1.00961,0.99108,0.0,1.0,1.0439,1.04135,-0.00985,0.1005,889.47614,737.94135
0.73787,-0.54643,0.99168,-0.0,1.0,1.0412,1.0414,-0.00623,0.27837,1645.487,1239.95154
0.56342,-0.8953,0.98547,-0.0,1.0,1.0393,1.03737,-0.00888,-0.09736,485.87476,398.25269
0.57995,-1.26665,0.99062,-0.0,1.0,1.0395,1.04096,-0.00535,0.15018,1010.4248,816.98669
0.51039,-1.70271,0.98877,0.0,1.0,1.0413,1.04056,-0.00728,0.15373,502.55157,527.43311
-0.08272,-3.28313,0.9885,-0.0,1.0,1.0389,1.03692,-0.0078,0.03608,3828.1108,3844.11719
-0.00819,-3.08653,0.98678,0.0,1.0,1.0359,1.03432,-0.0073,-0.20682,2890.9802,2061.25635
0.43235,-2.39674,0.98939,0.0,1.0,1.0307,1.02746,-0.00437,-0.04115,1029.3369,1034.83154
0.38219,-1.58369,0.98743,-0.0,1.0,1.0287,1.02998,-0.00909,-0.04305,804.363,736.03162
0.04329,-2.87004,0.99018,0.0,1.0,1.0285,1.02602,-0.02329,0.06082,2913.4492,3280.27319
-0.16197,-1.9186,0.98848,-0.0,1.0,1.0239,1.02218,-0.00839,-0.16631,2025.0598,1591.87329
0.12187,-4.61489,0.9834,0.0,1.0,1.0234,1.02486,-0.00617,-0.00091,3115.7751,2946.09619
0.32947,-1.31711,0.98835,-0.0,1.0,1.0219,1.01906,-0.00771,-0.27206,686.24225,624.13983
0.25948,-1.60356,0.98598,0.0,1.0,1.0193,1.02033,-0.00406,0.07532,943.5414,892.59955
0.59411,-0.69182,0.98635,-0.0,1.0,1.0173,1.01416,-0.00525,-0.04506,718.0848,626.81238
